"message","label_model","correct_label","measure"
"That depends. How would you like to be treated? :)","0","0","TN"
"Right on brah, see you later","0","0","TN"
"Waiting in e car 4 my mum lor. U leh? Reach home already?","0","0","TN"
"Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05","1","1","TP"
"Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow","1","1","TP"
"Went fast asleep dear.take care.","0","0","TN"
"No that just means you have a fat head","0","0","TN"
"Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!","0","0","TN"
"Serious? What like proper tongued her","0","0","TN"
"She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance","0","0","TN"
"How i noe... She's in da car now... Later then c lar... I'm wearing shorts...","0","0","TN"
"You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!","1","1","TP"
"Yeah whatever lol","0","0","TN"
"Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy","0","0","TN"
"Ard 530 lor. I ok then message Ì_ lor.","0","0","TN"
"Ok. C u then.","0","0","TN"
"Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...","0","0","TN"
"No need to ke qi... ÌÏ too bored izzit y suddenly thk of this...","0","0","TN"
"I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!","0","0","TN"
"FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for å£3/wk","1","1","TP"
"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""","0","0","TN"
"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?","0","0","TN"
"Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?","0","0","TN"
"How? Izzit still raining?","0","0","TN"
"As if i wasn't having enough trouble sleeping.","0","0","TN"
"I havent add Ì_ yet right.. ","0","0","TN"
"Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*","0","0","TN"
"Babe ? I lost you ... Will you try rebooting ?","0","0","TN"
"Yes. Nigh you cant aha.","0","0","TN"
"I thk Ì_ gotta go home by urself. Cos i'll b going out shopping 4 my frens present. ","0","0","TN"
"Nooooooo I'm gonna be bored to death all day. Cable and internet outage.","0","0","TN"
"Sos! Any amount i can get pls.","0","0","TN"
"Playin space poker, u?","0","0","TN"
"How come guoyang go n tell her? Then u told her?","0","0","TN"
"You need to get up. Now.","0","0","TN"
"They r giving a second chance to rahul dengra.","0","0","TN"
"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?","0","0","TN"
"WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!","0","0","TN"
"Y Ì_ wan to go there? C doctor?","0","0","TN"
"Does daddy have a bb now.","0","0","TN"
"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!""","1","1","TP"
"She's borderline but yeah whatever.","0","0","TN"
"I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon","0","0","TN"
"Until 545 lor... Ya, can go 4 dinner together...","0","0","TN"
"I will be gentle princess! We will make sweet gentle love...","0","0","TN"
"How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch","0","0","TN"
"Sorry, went to bed early, nightnight","0","0","TN"
"I like to think there's always the possibility of being in a pub later.","0","0","TN"
"HMM yeah if your not too grooved out! And im looking forward to my pound special :)","0","0","TN"
"I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.","1","0","FP"
"Hi dude hw r u da realy mising u today","0","0","TN"
"Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit... ","0","0","TN"
"Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!","1","1","TP"
"I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?","0","0","TN"
"I knew it... U slept v late yest? Wake up so late...","0","0","TN"
"Haha... dont be angry with yourself... Take it as a practice for the real thing. =) ","0","0","TN"
"Where is that one day training:-)","0","0","TN"
"So i could kiss and feel you next to me...","0","0","TN"
"Have a nice day my dear.","0","0","TN"
"I sent lanre fakeye's Eckankar details to the mail box","0","0","TN"
"Your dad is back in ph?","0","0","TN"
"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""","1","1","TP"
"If you ask her or she say any please message.","0","0","TN"
"If e timing can, then i go w u lor...","0","0","TN"
"Love you aathi..love u lot..","0","0","TN"
"I was just callin to say hi. Take care bruv!","0","0","TN"
"YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386","1","1","TP"
"Did u turn on the heater? The heater was on and set to &lt;#&gt; degrees.","0","0","TN"
"Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.","0","0","TN"
"That's the trouble with classes that go well - you're due a dodgey one ‰Û_ Expecting mine tomo! See you for recovery, same time, same place ","0","0","TN"
"Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&","1","1","TP"
"WOT U UP 2 J?","0","0","TN"
"Night night, see you tomorrow","0","0","TN"
"Roger that. We‰Û÷re probably going to rem in about 20","0","0","TN"
"do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................","0","0","TN"
"I wish u were here. I feel so alone","0","0","TN"
"Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs","1","1","TP"
"Reason is if the team budget is available at last they buy the unsold players for at base rate..","0","0","TN"
"CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES","0","0","TN"
"ringtoneking 84484","0","1","FN"
"Huh i cant thk of more oredi how many pages do we have?","0","0","TN"
"His frens go then he in lor. Not alone wif my mum n sis lor.","0","0","TN"
"Nationwide auto centre (or something like that) on Newport road. I liked them there","0","0","TN"
"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly","0","0","TN"
"Whatever, juliana. Do whatever you want.","0","0","TN"
"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e","0","0","TN"
"Ringtone Club: Gr8 new polys direct to your mobile every week !","1","1","TP"
"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta.","0","0","TN"
"Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...","0","0","TN"
"(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..","0","1","FN"
"I am on the way to ur home","0","0","TN"
"Dizzamn, aight I'll ask my suitemates when I get back","0","0","TN"
"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word","0","0","TN"
"I love to cuddle! I want to hold you in my strong arms right now...","0","0","TN"
"R u in this continent?","0","0","TN"
"We'll you pay over like  &lt;#&gt; yrs so its not too difficult","0","0","TN"
"Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!","0","1","FN"
"We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs","1","1","TP"
"K...k...when will you give treat?","0","0","TN"
"This is the 2nd time we have tried to contact u. U have won the å£400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate","1","1","TP"
"He's just gonna worry for nothing. And he won't give you money its no use.","0","0","TN"
"Did you get any gift? This year i didnt get anything. So bad","0","0","TN"
"somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams","0","0","TN"
"Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant","0","0","TN"
", ow u dey.i paid 60,400thousad.i told  u would call . ","0","0","TN"
"IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx","0","0","TN"
"I'm reaching home in 5 min.","0","0","TN"
"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx","1","0","FP"
"Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel ","0","0","TN"
"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text","1","1","TP"
"Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!","1","1","TP"
"Discussed with your mother ah?","0","0","TN"
"Ok.","0","0","TN"
"Sorry, I can't text &amp; drive coherently, see you in twenty","0","0","TN"
"You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!","0","1","FN"
"In which place i can get rooms cheap:-)","0","0","TN"
"Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.","0","0","TN"
"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\""""","0","0","TN"
"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at å£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS","1","1","TP"
"University of southern california.","0","0","TN"
"We have to pick rayan macleran there.","0","0","TN"
"U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...","0","0","TN"
"Well. Balls. Time to make calls","1","0","FP"
"Wat time Ì_ wan today?","0","0","TN"
" &lt;#&gt;  in mca. But not conform.","0","0","TN"
"Oh ok.. Wat's ur email?","0","0","TN"
"Yes, princess. Are you going to make me moan?","0","0","TN"
"Lol its ok I didn't remember til last nite","0","0","TN"
"[‰Û_] anyway, many good evenings to u! s","0","0","TN"
"Cool, I'll text you in a few","0","0","TN"
"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..","0","0","TN"
"I'm very happy for you babe ! Woo hoo party on dude!","0","0","TN"
"I am taking you for italian food. How about a pretty dress with no panties? :)","0","0","TN"
"Wot u up 2? Thout u were gonna call me!! Txt bak luv K","1","0","FP"
"YOU ARE CHOSEN TO RECEIVE A å£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.","1","1","TP"
"How are you holding up?","0","0","TN"
"Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please.... ","0","0","TN"
"Hope you are not scared!","0","0","TN"
"I cant pick the phone right now. Pls send a message","0","0","TN"
"I'm at home n ready...","0","0","TN"
"Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!","1","1","TP"
"What time do u get out?","0","0","TN"
"I am literally in bed and have been up for like  &lt;#&gt;  hours","0","0","TN"
"Yes, my reg is  Ciao!","0","0","TN"
"If You mean the website. Yes.","0","0","TN"
"Win a å£1000 cash prize or a prize worth å£5000","1","1","TP"
"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182","1","1","TP"
"Lol or I could just starve and lose a pound by the end of the day.","0","0","TN"
"Yeah that's the impression I got","0","0","TN"
"Ok ok take care. I can understand.","0","0","TN"
"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL","0","0","TN"
"Ya ok, then had dinner?","0","0","TN"
"I was slept that time.you there?","0","0","TN"
"dont make ne plans for nxt wknd coz she wants us to come down then ok","0","0","TN"
"When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.","0","0","TN"
"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)","0","0","TN"
"Noice. Text me when you're here","0","0","TN"
"Hi di is yijue we're meeting at 7 pm at esaplanade tonight.","0","0","TN"
"Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP","1","1","TP"
"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only å£1.50/week. SavaMob - offers mobile!","1","1","TP"
"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was","1","0","FP"
"Hi dear we saw dear. We both are happy. Where you my battery is low","0","0","TN"
"How are you. Its been ages. How's abj","0","0","TN"
"Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!","0","0","TN"
"Dont kick coco when he's down","0","0","TN"
"Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit","0","0","TN"
"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ","1","1","TP"
"TBS/PERSOLVO. been chasing us since Sept forå£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.","0","1","FN"
"Hope youåÕre not having too much fun without me!! see u tomorrow love jess x","0","0","TN"
"Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all","0","0","TN"
"I've reached home n i bathe liao... U can call me now...","0","0","TN"
"Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821","1","1","TP"
"Was the actual exam harder than NBME","0","0","TN"
"A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol","0","0","TN"
"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U","0","0","TN"
"87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077","1","1","TP"
"Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.","0","0","TN"
"Gam gone after outstanding innings.","0","0","TN"
"O i played smash bros  &lt;#&gt;  religiously.","0","0","TN"
"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola","0","0","TN"
"Hurry home. Soup is DONE!","0","0","TN"
"No no. I will check all rooms befor activities","0","0","TN"
"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.","0","0","TN"
"Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...","0","0","TN"
"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.","1","1","TP"
"Lemme know when you're here","0","0","TN"
"PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04","1","1","TP"
"He needs to stop going to bed and make with the fucking dealing","0","0","TN"
"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea","0","0","TN"
"We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now","1","1","TP"
"Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is  &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj","0","0","TN"
"I remain unconvinced that this isn't an elaborate test of my willpower","0","0","TN"
"\Life is nothing wen v get everything\"". But \""life is everything wen v miss something \"". Real value of people wil be realized only in their absence.... gud mrng""","0","0","TN"
"how are you? I miss you!","0","0","TN"
"I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy","0","0","TN"
"Hey , is * rite u put åÈ10 evey mnth is that all?","0","0","TN"
"i am going to bed now prin","0","0","TN"
"I think just yourself ‰Û_Thanks and see you tomo","0","0","TN"
"If u dun drive then how i go 2 sch.","0","0","TN"
"I not at home now lei...","0","0","TN"
"GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@å£1.50rcvd","1","1","TP"
"Ok then i will come to ur home after half an hour","0","0","TN"
"U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599","1","1","TP"
"Do u hav any frnd by name ashwini in ur college?","0","0","TN"
"Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...","0","0","TN"
"K then 2marrow are you coming to class.","0","0","TN"
"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call","1","1","TP"
"Pls send me your address sir.","0","0","TN"
"I want to lick your pussy now...","0","0","TN"
"Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack","0","0","TN"
"URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm","1","1","TP"
"I'll see, but prolly yeah","0","0","TN"
"Thought we could go out for dinner. I'll treat you! Seem ok?","0","0","TN"
"Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?","0","0","TN"
"Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.","0","0","TN"
"What you doing?how are you?","0","0","TN"
"Sure thing big man. i have hockey elections at 6, shouldn‰Û÷t go on longer than an hour though","0","0","TN"
"Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...","0","0","TN"
"Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)","0","0","TN"
"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well.","0","0","TN"
"Yunny... I'm goin to be late","0","0","TN"
"Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later","0","0","TN"
"Cool, want me to go to kappa or should I meet you outside mu","0","0","TN"
"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe","0","0","TN"
"May b approve panalam...but it should have more posts..","0","0","TN"
"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)","1","1","TP"
"Sorry, I'll call later","0","0","TN"
"I dont thnk its a wrong calling between us","0","0","TN"
"Me i'm not workin. Once i get job...","0","0","TN"
"And by when you're done I mean now","0","0","TN"
"\Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But","0","0","TN"
"Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx","0","0","TN"
"FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end","1","1","TP"
"Is it your yahoo boys that bring in the perf? Or legal.","0","0","TN"
"No need to say anything to me. I know i am an outsider","0","0","TN"
"have you ever had one foot before?","0","0","TN"
"Just got to  &lt;#&gt;","0","0","TN"
"Good! No, don‰Û÷t need any receipts‰ÛÓwell done! (‰Û_) Yes, please tell . What‰Û÷s her number, i could ring her","0","0","TN"
"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt""","0","0","TN"
"Leave it wif me lar... ÌÏ wan to carry meh so heavy... Is da num 98321561 familiar to Ì_?","0","0","TN"
"Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-)","0","0","TN"
"Infact happy new year. How are you where are you when are we seeing","0","0","TN"
"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)","1","1","TP"
"That's a shame! Maybe cld meet for few hrs tomo?","0","0","TN"
"Lol I would but despite these cramps I like being a girl.","0","0","TN"
"I canåÕt wait for cornwall. Hope tonight isnåÕt too bad as well but itåÕs rock night shite. Anyway iåÕm going for a kip now have a good night. Speak to you soon.","0","0","TN"
"Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks","0","0","TN"
"Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's","1","1","TP"
"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...","0","0","TN"
"I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?","0","0","TN"
"ÌÏ comin to fetch us oredi...","0","0","TN"
"What's nannys address?","0","0","TN"
"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins","1","1","TP"
"Haf u eaten? Wat time u wan me 2 come?","0","0","TN"
"Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery","1","1","TP"
"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order","1","0","FP"
"This single single answers are we fighting? Plus i said am broke and you didnt reply","0","0","TN"
"It certainly puts things into perspective when something like this happens","0","0","TN"
"Now got tv 2 watch meh? U no work today?","0","0","TN"
"i felt so...not any conveying reason.. Ese he... What about me?","0","0","TN"
"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030","1","1","TP"
